Departure,Departure station,Return station,Covered distance (m),Duration (sec.)
2024-08-03 20:46:07,Beaux-Arts,Beaux-Arts,8445.0,15323
2024-08-03 20:43:34,Beaux-Arts,Beaux-Arts,8114.0,15485
2024-08-03 20:40:31,Boutonnet,Boutonnet,1457.0,1131
2024-08-03 20:34:14,Boutonnet,Louis Blanc,1339.0,87369
2024-08-03 20:28:46,Place Albert 1er - St Charles,Vert Bois,2713.0,1086
2024-08-03 20:26:29,Les Arceaux,Gare Saint-Roch,1739.0,648
2024-08-03 20:24:26,Nouveau Saint-Roch,Port Marianne,6601.0,3220
2024-08-03 20:23:47,Louis Blanc,Place Albert 1er - St Charles,347.0,217
2024-08-03 20:23:14,Pérols Etang de l'Or,Pérols Etang de l'Or,1976.0,2013
2024-08-03 20:22:38,Nouveau Saint-Roch,Nouveau Saint-Roch,18.0,94
2024-08-03 20:22:20,Nouveau Saint-Roch,Port Marianne,6697.0,3312
2024-08-03 20:22:12,Les Arceaux,Père Soulas,1474.0,440
2024-08-03 20:21:59,Pérols Etang de l'Or,Pérols Etang de l'Or,1210.0,2332
2024-08-03 20:21:40,Nouveau Saint-Roch,Port Marianne,6587.0,3342
2024-08-03 20:21:16,Port Marianne,Gare Saint-Roch,2415.0,1119
2024-08-03 20:20:13,Renouvier,Boutonnet,2176.0,649
2024-08-03 20:20:06,Gare Saint-Roch,Plan Cabanes,1159.0,473
2024-08-03 20:11:56,Renouvier,Boutonnet,2156.0,724
2024-08-03 20:06:24,Nouveau Saint-Roch,Place Albert 1er - St Charles,4706.0,3461
2024-08-03 20:05:57,Nouveau Saint-Roch,Louis Blanc,4204.0,3400
2024-08-03 20:01:19,Halles Castellane,Halles Castellane,6044.0,2728
2024-08-03 19:59:53,Rondelet,Place Albert 1er - St Charles,4915.0,3897
2024-08-03 19:59:46,Louis Blanc,Gare Saint-Roch,4700.0,4228
2024-08-03 19:59:16,Rondelet,Louis Blanc,4735.0,3783
2024-08-03 19:58:55,Louis Blanc,Gare Saint-Roch,4778.0,4277
2024-08-03 19:55:25,Nouveau Saint-Roch,Port Marianne,2174.0,626
2024-08-03 19:55:20,Nouveau Saint-Roch,Port Marianne,2178.0,627
2024-08-03 19:54:06,Les Arceaux,Comédie,1266.0,364
2024-08-03 19:46:49,Voltaire,Les Arceaux,2419.0,1129
2024-08-03 19:46:38,Plan Cabanes,Gare Saint-Roch,1429.0,619
2024-08-03 19:46:02,Voltaire,Voltaire,0.0,17
2024-08-03 19:45:02,Comedie Baudin,Louis Blanc,1067.0,440
2024-08-03 19:44:13,Comedie Baudin,Comedie Baudin,0.0,26
2024-08-03 19:42:57,Les Arceaux,Pérols Etang de l'Or,12372.0,46577
2024-08-03 19:41:19,Foch,Gambetta,684.0,195
2024-08-03 19:36:26,Gare Saint-Roch,Gare Saint-Roch,6712.0,20939
2024-08-03 19:32:13,Faculté des sciences,Observatoire,3424.0,773
2024-08-03 19:30:48,Plan Cabanes,Comedie Baudin,1284.0,769
2024-08-03 19:29:58,Plan Cabanes,Comedie Baudin,1374.0,789
2024-08-03 19:28:59,Sabines,Saint-Guilhem - Courreau,3548.0,1439
2024-08-03 19:28:44,Place Albert 1er - St Charles,Richter,5844.0,5607
2024-08-03 19:27:57,Sabines,Saint-Guilhem - Courreau,3804.0,1504
2024-08-03 19:27:12,Sabines,Sabines,0.0,18
2024-08-03 19:03:25,Faculté des sciences,Place Albert 1er - St Charles,2591.0,1429
2024-08-03 19:02:15,Sud De France,Halles Castellane,5821.0,1929
2024-08-03 19:01:42,Faculté des sciences,Richter,8092.0,7232
2024-08-03 18:55:40,Celleneuve,Celleneuve,2.0,27
2024-08-03 18:55:00,Celleneuve,Celleneuve,0.0,16
2024-08-03 18:53:53,Place Viala,Saint-Guilhem - Courreau,1927.0,551
2024-08-03 18:51:07,Place Albert 1er - St Charles,Place Albert 1er - St Charles,0.0,21
2024-08-03 18:50:17,Rondelet,Rondelet,9139.0,4686
2024-08-03 18:49:19,Plan Cabanes,Rondelet,904.0,273
2024-08-03 18:49:09,Port Marianne,Malbosc,8639.0,5080
2024-08-03 18:48:49,Port Marianne,Malbosc,8668.0,4955
2024-08-03 18:47:30,Tonnelles,Tonnelles,0.0,25
2024-08-03 18:46:26,Tonnelles,Tonnelles,0.0,23
2024-08-03 18:45:57,Port Marianne,Port Marianne,2.0,140
2024-08-03 18:44:47,Port Marianne,Port Marianne,0.0,28
2024-08-03 18:39:17,Observatoire,Gare Saint-Roch,3022.0,59073
2024-08-03 18:38:14,Observatoire,Observatoire,14.0,40
2024-08-03 18:32:37,Boutonnet,Renouvier,2938.0,930
2024-08-03 18:29:49,Observatoire,Plan Cabanes,4878.0,13411
2024-08-03 18:29:24,Pérols Etang de l'Or,Pérols Etang de l'Or,4463.0,10025
2024-08-03 18:29:21,Pérols Etang de l'Or,Pérols Etang de l'Or,4461.0,10025
2024-08-03 18:27:16,Richter,Richter,24446.0,18950
2024-08-03 18:23:02,Observatoire,Observatoire,77.0,330
2024-08-03 18:15:06,Pérols Etang de l'Or,Pérols Etang de l'Or,5637.0,20093
2024-08-03 18:14:53,Observatoire,Beaux-Arts,1445.0,398
2024-08-03 18:13:45,Observatoire,Observatoire,4.0,28
2024-08-03 18:12:48,Observatoire,Observatoire,12.0,38
2024-08-03 17:55:02,Albert 1er - Cathédrale,Boutonnet,1153.0,399
2024-08-03 17:53:19,Albert 1er - Cathédrale,Albert 1er - Cathédrale,10.0,36
2024-08-03 17:51:11,Albert 1er - Cathédrale,Père Soulas,2135.0,497
2024-08-03 17:49:53,Albert 1er - Cathédrale,Albert 1er - Cathédrale,16.0,39
2024-08-03 17:49:50,Les Aubes,Occitanie,4749.0,1477
2024-08-03 17:49:49,Plan Cabanes,Observatoire,867.0,1495
2024-08-03 17:49:02,Albert 1er - Cathédrale,Albert 1er - Cathédrale,0.0,17
2024-08-03 17:47:27,Albert 1er - Cathédrale,Albert 1er - Cathédrale,18.0,47
2024-08-03 17:47:11,Pérols Etang de l'Or,Pérols Etang de l'Or,4706.0,8720
2024-08-03 17:46:55,Albert 1er - Cathédrale,Père Soulas,2099.0,770
2024-08-03 17:46:33,Pérols Etang de l'Or,Pérols Etang de l'Or,0.0,16
2024-08-03 17:46:01,Pérols Etang de l'Or,Pérols Etang de l'Or,8739.0,21438
2024-08-03 17:41:16,Tonnelles,Comédie,3967.0,903
2024-08-03 17:40:28,Comédie,Plan Cabanes,1078.0,718
2024-08-03 17:36:51,Place Viala,Renouvier,2660.0,868
2024-08-03 17:33:16,Boutonnet,Boutonnet,8821.0,9541
2024-08-03 17:31:37,Renouvier,Rondelet,839.0,254
2024-08-03 17:30:53,Renouvier,Renouvier,0.0,17
2024-08-03 17:30:18,Providence - Ovalie,Comédie,3165.0,1072
2024-08-03 17:30:04,Père Soulas,Les Arceaux,1445.0,463
2024-08-03 17:29:14,Père Soulas,Les Arceaux,1539.0,511
2024-08-03 17:27:39,Vert Bois,Comédie,4034.0,1180
2024-08-03 17:27:01,Père Soulas,Père Soulas,0.0,25042
2024-08-03 17:26:27,Vert Bois,Vert Bois,0.0,39
2024-08-03 17:26:26,Plan Cabanes,Observatoire,5901.0,2874
2024-08-03 17:26:12,Père Soulas,Père Soulas,6.0,231
2024-08-03 17:20:04,Place Albert 1er - St Charles,Emile Combes,52885.0,21108
2024-08-03 17:18:31,Port Marianne,Nombre d'Or,1888.0,1961
2024-08-03 17:17:55,Place Albert 1er - St Charles,Emile Combes,53328.0,21183
2024-08-03 17:17:41,Fac de Lettres,Corum,2078.0,443
2024-08-03 17:12:42,Boutonnet,Place Viala,1602.0,560
2024-08-03 17:07:50,Emile Combes,Emile Combes,36.0,85
2024-08-03 17:07:09,Emile Combes,Emile Combes,0.0,17
2024-08-03 17:05:37,Marie Caizergues,Marie Caizergues,2344.0,982
2024-08-03 17:02:09,Gare Saint-Roch,Louis Blanc,2254.0,1252
2024-08-03 17:02:08,Pérols Etang de l'Or,Pérols Etang de l'Or,14910.0,28066
2024-08-03 17:00:41,Pérols Etang de l'Or,Pérols Etang de l'Or,0.0,56
2024-08-03 16:59:30,Pérols Etang de l'Or,Pérols Etang de l'Or,13405.0,28245
2024-08-03 16:55:33,Louis Blanc,Marie Caizergues,829.0,550
2024-08-03 16:55:08,Occitanie,Plan Cabanes,6487.0,21634
2024-08-03 16:44:40,Place Albert 1er - St Charles,Médiathèque Emile Zola,2458.0,881
2024-08-03 16:44:35,Boutonnet,Comédie,2419.0,962
2024-08-03 16:44:14,Place Albert 1er - St Charles,Médiathèque Emile Zola,2525.0,916
2024-08-03 16:43:31,Boutonnet,Boutonnet,0.0,17
2024-08-03 16:42:50,Vert Bois,Louis Blanc,2969.0,921
2024-08-03 16:41:23,Pérols Etang de l'Or,Pérols Etang de l'Or,14792.0,94603
2024-08-03 16:40:21,Pérols Etang de l'Or,Pérols Etang de l'Or,8662.0,15527
2024-08-03 16:37:03,Pérols Etang de l'Or,Pérols Etang de l'Or,4.0,120
2024-08-03 16:28:54,Comédie,Médiathèque Emile Zola,1394.0,27344
2024-08-03 16:26:28,Comédie,Médiathèque Emile Zola,1527.0,407
2024-08-03 16:23:41,Vert Bois,Place Albert 1er - St Charles,2950.0,812
2024-08-03 16:22:28,Jean de Beins,Euromédecine,9883.0,3848
2024-08-03 16:19:09,Fac de Lettres,Louis Blanc,1703.0,453
2024-08-03 16:07:44,Rondelet,Médiathèque Emile Zola,1731.0,447
2024-08-03 16:03:55,Observatoire,Gare Saint-Roch,2681.0,1573
2024-08-03 16:01:34,Observatoire,Gare Saint-Roch,2756.0,1685
2024-08-03 15:59:24,Place Albert 1er - St Charles,Boutonnet,7091.0,7304
2024-08-03 15:54:20,Halles Castellane,Halles Castellane,10328.0,11371
2024-08-03 15:52:35,Halles Castellane,Jardin de la Lironde,4686.0,3011
2024-08-03 15:51:52,Halles Castellane,Jardin de la Lironde,4727.0,3039
2024-08-03 15:51:50,Les Aubes,Beaux-Arts,845.0,260
2024-08-03 15:51:32,Hôtel de Ville,Gare Saint-Roch,1460.0,456
2024-08-03 15:50:59,Hôtel de Ville,Hôtel de Ville,0.0,15
2024-08-03 15:49:39,Père Soulas,Jean de Beins,3210.0,1096
2024-08-03 15:49:22,Père Soulas,Jean de Beins,3246.0,1122
2024-08-03 15:47:25,Boutonnet,Place Albert 1er - St Charles,918.0,419
2024-08-03 15:46:26,Boutonnet,Boutonnet,0.0,17
2024-08-03 15:46:09,Charles Flahault,Corum,1498.0,411
2024-08-03 15:43:00,Comédie,Plan Cabanes,982.0,369
2024-08-03 15:41:03,Emile Combes,Louis Blanc,3240.0,18194
2024-08-03 15:40:03,Jeu de Mail des Abbés,Jeu de Mail des Abbés,31544.0,22972
2024-08-03 15:39:44,Boutonnet,Boutonnet,61.0,173
2024-08-03 15:27:26,Tonnelles,Observatoire,3587.0,1092
2024-08-03 15:26:21,Tonnelles,Tonnelles,0.0,28
2024-08-03 15:19:15,Pérols Etang de l'Or,Pérols Etang de l'Or,16411.0,7770
2024-08-03 15:18:13,Hôtel de Ville,Nombre d'Or,2278.0,1231
2024-08-03 15:17:21,Boutonnet,Gare Saint-Roch,12633.0,9516
2024-08-03 15:17:19,Hôtel de Ville,Hôtel de Ville,0.0,47642
2024-08-03 15:16:32,Hôtel de Ville,Nombre d'Or,2144.0,1326
2024-08-03 15:15:41,Boutonnet,Gare Saint-Roch,12313.0,9649
2024-08-03 15:15:27,Hôtel de Ville,Hôtel de Ville,0.0,2110
2024-08-03 15:14:50,Hôtel de Ville,Hôtel de Ville,22.0,56
2024-08-03 15:06:18,Saint-Guilhem - Courreau,Nouveau Saint-Roch,1905.0,3003
2024-08-03 15:02:18,Louis Blanc,Observatoire,2366.0,2090
2024-08-03 15:00:51,Louis Blanc,Observatoire,2491.0,2164
2024-08-03 14:59:02,Foch,Plan Cabanes,581.0,17180
2024-08-03 14:48:37,Halles Castellane,Louis Blanc,618.0,235
2024-08-03 14:47:13,Place Albert 1er - St Charles,Halles Castellane,908.0,495
2024-08-03 14:47:05,Place Albert 1er - St Charles,Halles Castellane,967.0,495
2024-08-03 14:46:07,Place Albert 1er - St Charles,Place Albert 1er - St Charles,0.0,18
2024-08-03 14:44:51,Place Albert 1er - St Charles,Père Soulas,1709.0,675
2024-08-03 14:44:06,Observatoire,Observatoire,14.0,102
2024-08-03 14:35:41,Renouvier,Occitanie,3845.0,1181
2024-08-03 14:35:12,Renouvier,Occitanie,3867.0,1201
2024-08-03 14:33:00,Tonnelles,Observatoire,3691.0,945
2024-08-03 14:30:51,Halles Castellane,Saint-Guilhem - Courreau,35428.0,13560
2024-08-03 14:28:38,Fac de Lettres,Place Albert 1er - St Charles,1525.0,499
2024-08-03 14:17:24,Père Soulas,Occitanie,2366.0,768
2024-08-03 14:07:40,Fac de Lettres,Louis Blanc,1829.0,418
2024-08-03 14:03:28,Saint-Guilhem - Courreau,Renouvier,822.0,260
2024-08-03 14:02:38,Saint-Guilhem - Courreau,Renouvier,769.0,313
2024-08-03 14:01:51,Les Arceaux,Gare Saint-Roch,1866.0,654
2024-08-03 13:58:58,Sabines,Providence - Ovalie,914.0,378
2024-08-03 13:57:55,Place Albert 1er - St Charles,Place Albert 1er - St Charles,33982.0,18141
2024-08-03 13:39:54,Comédie,Hôtel de Ville,2137.0,794
2024-08-03 13:38:59,Comédie,Comédie,0.0,23
2024-08-03 13:38:47,Comédie,Hôtel de Ville,1956.0,938
2024-08-03 13:30:42,Malbosc,Place Viala,3485.0,868
2024-08-03 13:24:55,Richter,Richter,26903.0,14364
2024-08-03 13:20:44,Foch,Albert 1er - Cathédrale,5260.0,2039
2024-08-03 13:18:45,Médiathèque Emile Zola,Tonnelles,5501.0,4603
2024-08-03 13:17:17,Médiathèque Emile Zola,Médiathèque Emile Zola,12.0,51
2024-08-03 13:13:08,Les Arceaux,Corum,1411.0,431
2024-08-03 13:11:21,Marie Caizergues,Louis Blanc,820.0,342
2024-08-03 13:10:55,Plan Cabanes,Comédie,1041.0,306
2024-08-03 13:08:39,Louis Blanc,Occitanie,3532.0,920
2024-08-03 13:07:50,Pérols Etang de l'Or,Pérols Etang de l'Or,5301.0,12171
2024-08-03 13:05:52,Pérols Etang de l'Or,Pérols Etang de l'Or,18.0,39
2024-08-03 12:59:50,Foch,Les Arceaux,882.0,1331
2024-08-03 12:58:03,Louis Blanc,Les Arceaux,1035.0,466
2024-08-03 12:55:01,Richter,Garcia Lorca,27315.0,15897
2024-08-03 12:47:26,Marie Caizergues,Corum,1082.0,352
2024-08-03 12:42:43,Fac de Lettres,Louis Blanc,1741.0,485
2024-08-03 12:41:05,Louis Blanc,Gare Saint-Roch,5394.0,1911
2024-08-03 12:40:14,Louis Blanc,Père Soulas,2084.0,594
2024-08-03 12:39:29,Occitanie,Corum,3753.0,1090
2024-08-03 12:36:07,Les Aubes,Port Marianne,2432.0,881
2024-08-03 12:34:28,Pérols Etang de l'Or,Pérols Etang de l'Or,9021.0,16117
2024-08-03 12:34:05,Place Viala,Plan Cabanes,1645.0,407
2024-08-03 12:33:20,Jardin de la Lironde,Comédie,26.0,153529
2024-08-03 12:32:37,Pérols Etang de l'Or,Pérols Etang de l'Or,9129.0,12702
2024-08-03 12:32:09,Jardin de la Lironde,Comédie,24.0,153618
2024-08-03 12:31:45,Euromédecine,Gare Saint-Roch,5774.0,1208
2024-08-03 12:31:32,Fac de Lettres,Fac de Lettres,4527.0,20044
2024-08-03 12:31:06,Pérols Etang de l'Or,Pérols Etang de l'Or,2.0,41
2024-08-03 12:29:40,Celleneuve,Les Arceaux,3009.0,1021
2024-08-03 12:28:54,Nombre d'Or,Nombre d'Or,3522.0,2159
2024-08-03 12:25:08,Nombre d'Or,Nombre d'Or,53.0,85
2024-08-03 12:23:31,Comedie Baudin,Faculté des sciences,13436.0,7269
2024-08-03 12:21:40,Comédie,Gare Saint-Roch,28387.0,26716
2024-08-03 12:20:17,Comédie,Gare Saint-Roch,30472.0,117588
2024-08-03 12:20:15,Voltaire,Voltaire,379.0,153813
2024-08-03 12:19:42,Halles Castellane,Les Arceaux,2097.0,3762
2024-08-03 12:18:46,Halles Castellane,Foch,1345.0,1932
2024-08-03 12:17:31,Voltaire,Voltaire,0.0,16
2024-08-03 12:11:24,Comédie,Marie Caizergues,1813.0,576
2024-08-03 12:11:17,Observatoire,Comédie,541.0,575
2024-08-03 12:11:07,Faculté des sciences,Place Albert 1er - St Charles,2276.0,698
2024-08-03 12:11:02,Comédie,Nombre d'Or,29237.0,13845
2024-08-03 12:10:30,Comedie Baudin,Nombre d'Or,1431.0,755
2024-08-03 12:10:28,Comédie,Nombre d'Or,27448.0,13884
2024-08-03 12:10:14,Observatoire,Gare Saint-Roch,28877.0,27392
2024-08-03 12:09:26,Père Soulas,Occitanie,1882.0,679
2024-08-03 12:09:20,Observatoire,Gare Saint-Roch,29582.0,27428
2024-08-03 12:09:08,Charles Flahault,Boutonnet,5309.0,3422
2024-08-03 12:09:03,Faculté des sciences,Place Albert 1er - St Charles,2278.0,824
2024-08-03 12:07:41,Rondelet,Comédie,3514.0,3769
2024-08-03 12:04:55,Occitanie,Foch,3455.0,944
2024-08-03 12:04:53,Observatoire,Observatoire,34.0,682
2024-08-03 12:04:25,Occitanie,Foch,3502.0,974
2024-08-03 12:03:40,Les Arceaux,Les Arceaux,3967.0,1910
2024-08-03 12:03:28,Observatoire,Observatoire,0.0,39
2024-08-03 12:01:32,Les Arceaux,Louis Blanc,1057.0,157650
2024-08-03 12:01:02,Prés d'Arènes,Nouveau Saint-Roch,1382.0,514
2024-08-03 11:57:44,Port Marianne,Port Marianne,23233.0,18683
2024-08-03 11:57:04,Pérols Etang de l'Or,Pérols Etang de l'Or,5568.0,20795
2024-08-03 11:56:05,Pérols Etang de l'Or,Pérols Etang de l'Or,0.0,25
2024-08-03 11:56:05,Port Marianne,Port Marianne,0.0,59
2024-08-03 11:55:16,Fac de Lettres,Halles Castellane,5705.0,4133
2024-08-03 11:54:58,Pérols Etang de l'Or,Pérols Etang de l'Or,0.0,22
2024-08-03 11:54:46,Fac de Lettres,Halles Castellane,6001.0,4278
2024-08-03 11:52:32,Pérols Etang de l'Or,Pérols Etang de l'Or,5956.0,21085
2024-08-03 11:52:04,Pérols Etang de l'Or,Pérols Etang de l'Or,5750.0,21109
2024-08-03 11:51:23,Pérols Etang de l'Or,Pérols Etang de l'Or,26.0,143
2024-08-03 11:50:59,Pérols Etang de l'Or,Pérols Etang de l'Or,5735.0,21118
2024-08-03 11:49:59,Place Albert 1er - St Charles,Fac de Lettres,1382.0,519
2024-08-03 11:48:14,Renouvier,Renouvier,21142.0,18051
2024-08-03 11:39:39,Rondelet,Saint-Guilhem - Courreau,827.0,362
2024-08-03 11:36:06,Richter,Médiathèque Emile Zola,33233.0,21521
2024-08-03 11:34:45,Richter,Richter,330.0,64
2024-08-03 11:33:15,Celleneuve,Gare Saint-Roch,4267.0,983
2024-08-03 11:32:07,Pérols Etang de l'Or,Pérols Etang de l'Or,21073.0,24991
2024-08-03 11:31:31,Marie Caizergues,Comédie,2229.0,925
2024-08-03 11:31:09,Pérols Etang de l'Or,Pérols Etang de l'Or,21040.0,25033
2024-08-03 11:30:54,Pérols Etang de l'Or,Pérols Etang de l'Or,0.0,45
2024-08-03 11:30:33,Pérols Etang de l'Or,Pérols Etang de l'Or,21173.0,25067
2024-08-03 11:28:53,Pérols Etang de l'Or,Pérols Etang de l'Or,20957.0,25172
2024-08-03 11:27:38,Halles Castellane,Fac de Lettres,2525.0,1370
2024-08-03 11:26:28,Halles Castellane,Fac de Lettres,2550.0,1436
2024-08-03 11:26:11,Médiathèque Emile Zola,Médiathèque Emile Zola,31914.0,22102
2024-08-03 11:23:11,Médiathèque Emile Zola,Richter,1127.0,706
2024-08-03 11:21:49,Médiathèque Emile Zola,Médiathèque Emile Zola,30.0,127
2024-08-03 11:21:28,Plan Cabanes,Comédie,951.0,316
2024-08-03 11:20:55,Plan Cabanes,Plan Cabanes,0.0,16
2024-08-03 11:14:51,Place Viala,Médiathèque Emile Zola,4743.0,81998
2024-08-03 11:13:47,Hôtel de Ville,Richter,6648.0,27330
2024-08-03 11:13:26,Saint-Guilhem - Courreau,Place Albert 1er - St Charles,5919.0,19848
2024-08-03 11:13:06,Richter,Richter,7620.0,3752
2024-08-03 11:12:37,Richter,Richter,7653.0,3764
2024-08-03 11:12:26,Hôtel de Ville,Hôtel de Ville,23772.0,29183
2024-08-03 11:12:16,Hôtel de Ville,Hôtel de Ville,55.0,61
2024-08-03 11:11:16,Hôtel de Ville,Gare Saint-Roch,1600.0,799
2024-08-03 11:11:01,Hôtel de Ville,Gare Saint-Roch,1613.0,816
2024-08-03 11:09:47,Pérols Etang de l'Or,Pérols Etang de l'Or,10830.0,14872
2024-08-03 11:08:38,Médiathèque Emile Zola,Nombre d'Or,567.0,263
2024-08-03 11:08:19,Pérols Etang de l'Or,Pérols Etang de l'Or,18.0,60
2024-08-03 11:08:18,Pérols Etang de l'Or,Pérols Etang de l'Or,11008.0,14958
2024-08-03 11:07:53,Médiathèque Emile Zola,Médiathèque Emile Zola,10.0,30
2024-08-03 11:04:05,Pérols Etang de l'Or,Corum,9779.0,6921
2024-08-03 10:57:19,Charles Flahault,Comédie,40.0,159329
2024-08-03 10:56:18,Charles Flahault,Comédie,20.0,159411
2024-08-03 10:55:18,Charles Flahault,Comédie,18.0,159501
